cod_icao;nombre_aerolinea;identificacion;pais_aerolinea;cod_pais
IPL;Airpull Aviation                                                                                    ;IPULL                                             ;Spain                                             ;ESP       
IVE;Air Executive                                                                                       ;COMPANY EXEC                                      ;Spain                                             ;ESP       
LKS;Airlink Solutions                                                                                   ;AIRLIN                                            ;Spain                                             ;ESP       
MAM;Aerodromo De La Mancha                                                                              ;AEROMAN                                           ;Spain                                             ;ESP       
MPD;Air Plus Comet                                                                                      ;RED COMET                                         ;Spain                                             ;ESP       
PCK;Air Pack Express                                                                                    ;AIRPACK EXPRESS                                   ;Spain                                             ;ESP       
RCU;Atlantic S.L.                                                                                       ;AIR COURIER                                       ;Spain                                             ;ESP       
RIS;Aeris Gestion                                                                                       ;AERIS                                             ;Spain                                             ;ESP       
FLP;Aeroclub Flaps                                                                                      ;AEROCLUB FLAPS                                    ;Spain                                             ;ESP       
BBV;Bravo Airlines                                                                                      ;BRAVO EUROPE                                      ;Spain                                             ;ESP       
BEF;Balear Express                                                                                      ;BALEAR EXPRESS                                    ;Spain                                             ;ESP       
BLJ;Blue Jet                                                                                            ;BLUEWAY                                           ;Spain                                             ;ESP       
CKM;BKS Air (Rivaflecha)                                                                                ;COSMOS                                            ;Spain                                             ;ESP       
IBB;Binter Canarias                                                                                     ;I999                                              ;Spain                                             ;ESP       
ORO;C N Air                                                                                             ;CAPRI                                             ;Spain                                             ;ESP       
CLI;Calima Aviacion                                                                                     ;CALIMA                                            ;Spain                                             ;ESP       
HSO;Campania Helicopteros De Transporte                                                                 ;HELIASTURIAS                                      ;Spain                                             ;ESP       
CVO;Center Vol                                                                                          ;CENTERVOL                                         ;Spain                                             ;ESP       
ACF;Centro de Formacion Aeronautica de Canarias                                                         ;FORCAN                                            ;Spain                                             ;ESP       
AIF;Compania Aerea de Valencia                                                                          ;I999                                              ;Spain                                             ;ESP       
ATF;Compania Aerotecnicas Fotograficas                                                                  ;AEROTECNICAS                                      ;Spain                                             ;ESP       
LCT;Compania De Actividades Y Servicios De Aviacion                                                     ;STELLAIR                                          ;Spain                                             ;ESP       
HSE;Compania Helicopteros Del Sureste                                                                   ;HELISURESTE                                       ;Spain                                             ;ESP       
HSS;Compania Transportes Aereos Del Sur                                                                 ;TAS HELICOPTEROS                                  ;Spain                                             ;ESP       
TAV;Compania de Servicios Aereos Tavisa                                                                 ;TAVISA                                            ;Spain                                             ;ESP       
RGN;Cygnus Air                                                                                          ;CYGNUS AIR                                        ;Spain                                             ;ESP       
FGC;Departmento De Agricultura De La Generalitat De Cataluna                                            ;FORESTALES                                        ;Spain                                             ;ESP       
ENA;Direccion General de Aviacion Civil y Telecomunicasciones                                           ;ENA                                               ;Spain                                             ;ESP       
MYO;Dominguez Toledo (Grupo Mayoral)                                                                    ;MAYORAL                                           ;Spain                                             ;ESP       
CTV;Escuela De Pilotos Are Aviacion                                                                     ;ARE AVIACION                                      ;Spain                                             ;ESP       
ECN;Euro Continental AIE                                                                                ;EURO CONTINENTAL                                  ;Spain                                             ;ESP       
EXU;Executive Airlines                                                                                  ;SACAIR                                            ;Spain                                             ;ESP       
FER;Feria Aviacion                                                                                      ;FERIA                                             ;Spain                                             ;ESP       
AYR;Flight Training Europe                                                                              ;CYGNET                                            ;Spain                                             ;ESP       
FIL;Fly Line                                                                                            ;FLYLINE                                           ;Spain                                             ;ESP       
FCE;Flycolumbia                                                                                         ;FLYCOLUMBIA                                       ;Spain                                             ;ESP       
FLK;Flylink Express                                                                                     ;FLYLINK                                           ;Spain                                             ;ESP       
FTE;Fotografia F3                                                                                       ;FOTOGRAFIA                                        ;Spain                                             ;ESP       
FAM;Fumigacion Aerea Andaluza                                                                           ;FAASA                                             ;Spain                                             ;ESP       
ROG;Fundaci� Rego                                                                                       ;REGO                                              ;Spain                                             ;ESP       
FUA;Futura International Airways                                                                        ;FUTURA                                            ;Spain                                             ;ESP       
GMJ;Gamisa Aviacion                                                                                     ;GAMISA                                            ;Spain                                             ;ESP       
GVN;Gavina                                                                                              ;GAVINA                                            ;Spain                                             ;ESP       
